Event	ID	Name			Wwise Object Path	Notes
	768346475	StabMusic_Start			\Default Work Unit\Music\StabMusic_Start	
	2062928797	SchwertMusic_Start			\Default Work Unit\Music\SchwertMusic_Start	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	438594	OasisMusic-Final-StabIntro-Pad_Hoch	X:\Studium\21-22 WS\Furtwangen Koop\Oasis\211121-Oasis-Wwise-Projekt\.cache\Windows\SFX\OasisMusic-Final-StabIntro-Pad_Hoch_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Final\Stab\OasisMusic-DoricoAudio-Stab Intro_intro\OasisMusic-Final-StabIntro-Pad_Hoch		225221
	5750159	OasisMusic-Final-StabB-Pad_Hoch	X:\Studium\21-22 WS\Furtwangen Koop\Oasis\211121-Oasis-Wwise-Projekt\.cache\Windows\SFX\OasisMusic-Final-StabB-Pad_Hoch_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Final\Stab\OasisMusic-DoricoAudio-Stab B_morePushing\OasisMusic-Final-StabB-Pad_Hoch		1101054
	10949169	OasisMusic-Final-SchwertB-Picked_Main	X:\Studium\21-22 WS\Furtwangen Koop\Oasis\211121-Oasis-Wwise-Projekt\.cache\Windows\SFX\OasisMusic-Final-SchwertB-Picked_Main_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Final\Schwert\OasisMusic-DoricoAudio-Schwert B_calm\OasisMusic-Final-SchwertB-Picked_Main		1483220
	15316349	OasisMusic-Final-SchwertB-Pad_Hoch	X:\Studium\21-22 WS\Furtwangen Koop\Oasis\211121-Oasis-Wwise-Projekt\.cache\Windows\SFX\OasisMusic-Final-SchwertB-Pad_Hoch_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Final\Schwert\OasisMusic-DoricoAudio-Schwert B_calm\OasisMusic-Final-SchwertB-Pad_Hoch		1336159
	26497383	OasisMusic-Final-SchwertB-Viola	X:\Studium\21-22 WS\Furtwangen Koop\Oasis\211121-Oasis-Wwise-Projekt\.cache\Windows\SFX\OasisMusic-Final-SchwertB-Viola_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Final\Schwert\OasisMusic-DoricoAudio-Schwert B_StringsSafe\OasisMusic-Final-SchwertB-Viola		1364408
	46210503	OasisMusic-Final-StabB-Pad_tief	X:\Studium\21-22 WS\Furtwangen Koop\Oasis\211121-Oasis-Wwise-Projekt\.cache\Windows\SFX\OasisMusic-Final-StabB-Pad_tief_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Final\Stab\OasisMusic-DoricoAudio-Stab B_morePushing\OasisMusic-Final-StabB-Pad_tief		1316193
	60478479	OasisMusic-Final-StabA-Pad_Mitte2	X:\Studium\21-22 WS\Furtwangen Koop\Oasis\211121-Oasis-Wwise-Projekt\.cache\Windows\SFX\OasisMusic-Final-StabA-Pad_Mitte2_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Final\Stab\OasisMusic-DoricoAudio-Stab A_morePushing\OasisMusic-Final-StabA-Pad_Mitte2		1600173
	66195859	OasisMusic-Final-SchwertA-Picked_Main	X:\Studium\21-22 WS\Furtwangen Koop\Oasis\211121-Oasis-Wwise-Projekt\.cache\Windows\SFX\OasisMusic-Final-SchwertA-Strummed_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Final\Schwert\OasisMusic-DoricoAudio-Schwert A_calm\OasisMusic-Final-SchwertA-Picked_Main		1249070
	103153603	OasisMusic-Final-StabA-Pad_Mitte1	X:\Studium\21-22 WS\Furtwangen Koop\Oasis\211121-Oasis-Wwise-Projekt\.cache\Windows\SFX\OasisMusic-Final-StabA-Pad_Mitte1_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Final\Stab\OasisMusic-DoricoAudio-Stab A_morePushing\OasisMusic-Final-StabA-Pad_Mitte1		2139188
	108978008	OasisMusic-Final-SchwertC-Contrabass	X:\Studium\21-22 WS\Furtwangen Koop\Oasis\211121-Oasis-Wwise-Projekt\.cache\Windows\SFX\OasisMusic-Final-SchwertC-Contrabass _073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Final\Schwert\OasisMusic-DoricoAudio-Schwert C_rein\OasisMusic-Final-SchwertC-Contrabass		1261879
	132854424	OasisMusic-Final-StabA-Viola alt	X:\Studium\21-22 WS\Furtwangen Koop\Oasis\211121-Oasis-Wwise-Projekt\.cache\Windows\SFX\OasisMusic-Final-StabA-Viola alt_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Final\Stab\OasisMusic-DoricoAudio-Stab A_morePushing\OasisMusic-Final-StabA-Viola alt		1657236
	149262216	OasisMusic-Final-SchwertA-Picked_Main	X:\Studium\21-22 WS\Furtwangen Koop\Oasis\211121-Oasis-Wwise-Projekt\.cache\Windows\SFX\OasisMusic-Final-SchwertA-Picked_Main_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Final\Schwert\OasisMusic-DoricoAudio-Schwert A_calm\OasisMusic-Final-SchwertA-Picked_Main		1178595
